PC = 0x00000000 (0)
Reg 0 = 0x00000000 (0)
Reg 1 = 0x00000000 (0)
Reg 2 = 0x0000000a (10)
Reg 3 = 0x0000ffff (65535)
Reg 4 = 0x0000ffff (65535)
Reg 5 = 0x0001fffe (131070)
Reg 6 = 0x0001fffe (131070)
Reg 7 = 0x00000000 (0)
Reg 8 = 0xffff0001 (-65535)
Reg 9 = 0x000000aa (170)
Reg 10 = 0x0000aaff (43775)
Reg 11 = 0x000055ff (22015)
Reg 12 = 0x0000aa00 (43520)
Reg 13 = 0x0001ffff (131071)
Reg 14 = 0xffff0000 (-65536)
Reg 15 = 0x000000ff (255)
Reg 16 = 0x00000000 (0)
Reg 17 = 0x00000000 (0)
Reg 18 = 0x00000000 (0)
Reg 19 = 0x00000000 (0)
Reg 20 = 0x00000000 (0)
Reg 21 = 0x00000000 (0)
Reg 22 = 0x00000000 (0)
Reg 23 = 0x00000000 (0)
Reg 24 = 0x00000000 (0)
Reg 25 = 0x00000000 (0)
Reg 26 = 0x00000000 (0)
Reg 27 = 0x00000000 (0)
Reg 28 = 0x10008000 (268468224)
Reg 29 = 0x7fffeffc (2147479548)
Reg 30 = 0x00000000 (0)
Reg 31 = 0x0040001c (4194332)
HI = 0x00000000 (0)
LO = 0x00000000 (0)
