PC = 0x00000000 (0)
Reg 0 = 0x00000000 (0)
Reg 1 = 0x00000000 (0)
Reg 2 = 0x0000000a (10)
Reg 3 = 0x10000000 (268435456)
Reg 4 = 0x000000ff (255)
Reg 5 = 0x000000ab (171)
Reg 6 = 0x000000cd (205)
Reg 7 = 0x00ff0000 (16711680)
Reg 8 = 0x00000008 (8)
Reg 9 = 0xcd00abcd (-855594035)
Reg 10 = 0xffcd00ab (-3342165)
Reg 11 = 0xcd00abcd (-855594035)
Reg 12 = 0x000000ff (255)
Reg 13 = 0xffffffff (-1)
Reg 14 = 0x00000000 (0)
Reg 15 = 0x00000000 (0)
Reg 16 = 0x00000000 (0)
Reg 17 = 0x00000000 (0)
Reg 18 = 0x00000000 (0)
Reg 19 = 0x00000000 (0)
Reg 20 = 0x00000000 (0)
Reg 21 = 0x00000000 (0)
Reg 22 = 0x00000000 (0)
Reg 23 = 0x00000000 (0)
Reg 24 = 0x00000000 (0)
Reg 25 = 0x00000000 (0)
Reg 26 = 0x00000000 (0)
Reg 27 = 0x00000000 (0)
Reg 28 = 0x10008000 (268468224)
Reg 29 = 0x7fffeffc (2147479548)
Reg 30 = 0x00000000 (0)
Reg 31 = 0x0040001c (4194332)
HI = 0x00000000 (0)
LO = 0x00000000 (0)
